,id,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,Number of schools nearby,Distance from the airport,Price
0,6762810635,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2,51,1400000
1,6762810998,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,122004,52.8852,-114.468,1,53,1200000
2,6762812605,4,2.5,3310,42998,2.0,0,0,3,9,3310,0,2001,0,122005,52.9532,-114.321,3,76,838000
3,6762812919,3,2.0,2710,4500,1.5,0,0,4,8,1880,830,1929,0,122006,52.9047,-114.485,1,51,805000
4,6762813105,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,122007,52.9133,-114.59,1,67,790000
5,6762813157,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,2006,0,122008,52.7637,-114.05,3,72,785000
6,6762813599,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,1923,0,122006,52.9254,-114.482,3,71,750000
7,6762813600,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,1955,0,122009,52.8014,-114.598,1,73,750000
8,6762814461,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,122010,52.9145,-114.391,2,53,698000
9,6762814787,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,1979,0,122011,52.8094,-114.215,2,51,675000
10,6762815225,4,2.0,1820,5000,1.5,0,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2,69,650000
11,6762815461,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,122006,52.908,-114.459,3,80,640000
12,6762815654,4,2.75,2710,37277,2.0,0,0,3,9,2710,0,2000,0,122012,52.6934,-114.177,1,74,630000
13,6762815737,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,3,51,626000
14,6762815748,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,3,55,625000
15,6762815749,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,1,70,625000
16,6762815986,3,1.75,2360,7291,1.0,0,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,2,75,615000
17,6762816059,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,1991,0,122017,52.9719,-114.395,2,70,612500
18,6762816236,3,2.5,3240,33151,2.0,0,2,3,10,3240,0,1995,0,122018,52.5556,-114.568,1,71,604000
19,6762816633,3,1.75,2330,14892,1.0,0,0,3,8,1970,360,1980,0,122019,52.8567,-114.236,1,60,588500
20,6762817449,4,2.5,3310,6500,2.0,0,0,3,8,3310,0,2012,0,122008,52.745,-114.06,2,80,555000
21,6762817570,4,2.5,1940,10500,1.0,0,0,4,7,1140,800,1976,0,122005,52.913,-114.304,1,58,550000
22,6762817571,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,122020,52.8047,-114.225,3,50,550000
23,6762819227,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,2004,0,122021,53.0035,-114.348,3,73,499950
24,6762819342,4,1.75,1600,6380,1.0,0,0,3,8,1130,470,1959,0,122022,52.931,-114.496,3,50,495000
25,6762819448,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,1968,0,122023,52.5003,-114.259,3,64,491500
26,6762819463,2,1.0,880,6380,1.0,0,0,3,7,880,0,1938,1994,122006,52.9224,-114.512,3,66,490000
27,6762819732,4,2.5,2710,35868,2.0,0,0,3,9,2710,0,1989,0,122024,52.605,-114.212,3,71,482000
28,6762820114,5,2.5,2210,9655,1.0,0,0,3,8,1460,750,1976,0,122017,52.9998,-114.412,3,79,470000
29,6762820382,3,1.75,1710,7320,1.0,0,0,3,7,1710,0,1948,0,122014,52.9812,-114.471,1,72,463000
30,6762820510,3,2.5,2680,5539,2.0,0,0,3,8,2680,0,2013,0,122025,52.7061,-113.924,2,74,459990
31,6762820718,3,2.5,2430,88426,1.0,0,0,4,7,1570,860,1985,0,122025,52.7128,-113.908,3,78,452500
32,6762821047,3,2.5,1270,1180,3.0,0,0,3,8,1270,0,2001,0,122026,52.8997,-114.582,3,61,445700
33,6762821205,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,122027,52.7743,-114.367,2,52,440000
34,6762821206,2,1.0,800,4850,1.0,0,0,4,7,800,0,1944,0,122026,52.8939,-114.554,2,60,440000
35,6762821318,3,2.5,1770,2875,2.0,0,0,3,8,1770,0,1990,0,122009,52.7931,-114.587,3,68,439950
36,6762821390,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,122012,52.6935,-114.181,2,70,437500
37,6762821424,3,2.5,1770,1235,3.0,0,0,3,8,1600,170,2007,0,122028,52.9265,-114.532,3,52,436110
38,6762821444,4,1.0,1450,8800,1.0,0,0,4,7,1450,0,1954,0,122027,52.8046,-114.325,2,62,435000
39,6762821632,4,1.5,1920,10000,1.0,0,0,4,7,1070,850,1954,0,122027,52.8025,-114.323,2,64,430000
40,6762822054,3,2.25,2000,8030,1.0,0,0,4,8,1000,1000,1963,0,122029,52.8488,-114.304,1,61,420000
41,6762822175,3,1.5,1570,6700,1.0,0,0,4,7,1570,0,1956,0,122030,52.8322,-114.324,3,78,419000
42,6762822578,3,2.5,1930,10460,2.0,0,0,3,8,1930,0,1996,0,122015,52.7238,-114.351,1,63,407500
43,6762822721,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,1957,0,122031,52.6719,-114.53,3,72,403000
44,6762822791,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,122023,52.4917,-114.38,1,80,400000
45,6762823455,3,3.25,1320,1327,2.0,0,0,3,8,1040,280,2008,0,122032,52.8806,-114.573,2,51,385000
46,6762823582,4,1.75,1560,8700,1.0,0,0,4,7,1560,0,1967,0,122033,52.9574,-114.371,3,74,382500
47,6762824201,4,3.0,3110,7231,2.0,0,0,3,8,3110,0,1997,0,122023,52.5579,-114.381,3,66,367500
48,6762824245,3,1.0,1090,6435,1.0,0,0,4,7,1090,0,1955,0,122034,52.7634,-114.555,3,80,365000
49,6762825272,3,2.0,1930,11947,1.0,0,0,4,8,1930,0,1966,0,122035,52.5972,-114.341,2,66,342000
50,6762825549,2,2.0,1350,2560,1.0,0,0,3,8,1350,0,1976,0,122005,52.8644,-114.297,1,77,335000
51,6762825550,3,2.25,1580,16215,1.0,0,0,4,7,1580,0,1978,0,122036,52.7943,-114.087,3,56,335000
52,6762826461,3,1.0,1160,9180,1.0,0,0,3,7,1160,0,1968,0,122037,52.9727,-114.262,1,52,315000
53,6762826606,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,122038,52.9958,-114.529,3,65,313000
54,6762826811,2,1.0,850,6174,1.0,0,0,4,7,850,0,1950,0,122014,52.9652,-114.518,1,60,308500
55,6762827056,3,2.5,2540,5050,2.0,0,0,3,7,2540,0,2006,0,122035,52.5658,-114.245,2,64,300000
56,6762827347,2,2.5,1630,1368,2.0,0,0,3,7,1280,350,2009,0,122034,52.7789,-114.553,1,74,295000
57,6762827693,3,3.0,1850,19966,1.0,0,0,4,7,1090,760,1992,0,122024,52.5793,-114.224,2,58,287200
58,6762827749,4,2.5,2200,9397,2.0,0,0,3,8,2200,0,1987,0,122039,52.5706,-114.459,3,80,285000
59,6762827750,3,2.5,2090,10834,1.0,0,0,4,8,1360,730,1987,0,122040,52.5837,-114.493,2,56,285000
60,6762827836,3,1.75,1800,23103,1.0,0,0,3,7,1800,0,1968,0,122041,52.8817,-114.096,3,62,284000
61,6762828162,3,1.5,1180,10277,1.0,0,0,3,6,1180,0,1983,0,122025,52.718,-113.977,3,78,275000
62,6762828790,4,2.0,1480,8625,1.0,0,0,4,7,1480,0,1974,0,122042,52.692,-114.383,1,60,260000
63,6762828945,3,1.75,1370,5858,1.0,0,0,3,7,1370,0,1987,0,122043,52.6115,-114.503,3,56,257950
64,6762829578,3,1.5,1200,9720,1.0,0,0,4,7,1200,0,1965,0,122035,52.6525,-114.343,3,77,242500
65,6762829789,2,1.0,1210,9400,1.0,0,0,2,6,1210,0,1949,0,122034,52.7642,-114.55,3,73,235000
66,6762815750,4,2.75,2920,6605,2.0,0,0,3,8,2920,0,2012,0,122015,52.7209,-114.334,1,62,625000
67,6762817521,2,1.0,900,5000,1.0,0,0,3,7,900,0,1944,0,122007,52.9183,-114.585,1,68,553000
68,6762823736,3,2.5,1650,14054,1.0,0,0,4,7,1130,520,1986,0,122012,52.7121,-114.207,2,57,379880
69,6762826674,3,1.0,1010,9945,1.0,0,0,4,6,1010,0,1973,0,122008,52.7624,-113.953,3,60,310000
70,6762813188,3,2.5,2850,7130,2.0,0,0,3,10,1990,860,1980,0,122044,52.833,-114.479,1,52,783500
71,6762813282,2,2.5,2680,7392,1.0,0,0,3,9,2680,0,2004,0,122045,52.947,-114.216,2,65,775000
72,6762815716,4,2.0,2280,6010,1.0,0,0,3,7,1140,1140,1900,0,122044,52.8334,-114.479,1,51,628000
73,6762824246,3,2.5,2200,7350,1.0,0,0,5,8,1570,630,1988,0,122046,52.6695,-114.351,2,53,365000
74,6762825730,4,2.5,2530,9933,2.0,0,2,3,8,2010,520,1990,0,122023,52.4954,-114.406,2,59,331950
75,6762810164,7,8.0,13540,307752,3.0,0,4,3,12,9410,4130,1999,0,122045,52.8975,-114.176,1,55,2280000
76,6762810615,2,2.5,2220,4000,2.0,0,0,3,9,2220,0,2000,0,122047,52.8664,-114.47,3,67,1430000
77,6762810636,5,3.5,4010,8510,2.0,0,1,5,9,2850,1160,1971,0,122004,52.8878,-114.476,1,50,1400000
78,6762811248,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,1992,0,122045,52.9105,-114.238,1,73,1090000
79,6762811411,5,2.75,3190,16920,1.0,0,3,3,9,1690,1500,1976,0,122027,52.7941,-114.35,1,53,1030000
80,6762812053,3,1.0,1330,77972,1.0,0,0,3,7,1330,0,1928,1954,122010,52.9191,-114.349,3,52,900000
81,6762812148,4,4.25,4420,5750,2.0,0,0,3,10,3410,1010,2006,0,122012,52.7704,-114.263,1,57,890000
82,6762812149,5,3.5,4490,6000,2.0,0,0,3,10,3200,1290,2006,0,122012,52.7696,-114.263,2,70,890000
83,6762812331,4,3.0,3690,9892,2.0,0,0,3,10,3690,0,1998,0,122020,52.8237,-114.172,3,62,865000
84,6762812415,4,2.75,2600,5390,1.0,0,0,4,8,1300,1300,1960,0,122032,52.8682,-114.587,2,69,855000
85,6762812659,4,3.0,2170,4000,2.0,0,0,4,9,1610,560,1982,2011,122047,52.8496,-114.482,3,73,831000
86,6762812664,4,2.5,3400,9692,2.0,0,0,3,9,3400,0,2007,0,122005,52.938,-114.299,3,58,830000
87,6762812761,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,122044,52.8324,-114.485,3,68,823000
88,6762812961,5,2.5,3180,13806,2.0,0,0,4,10,3180,0,1990,0,122010,52.882,-114.372,1,76,800866
89,6762812963,3,2.5,3240,7857,2.0,0,0,3,10,3240,0,1994,0,122020,52.8157,-114.228,3,66,800000
